MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
DTP8.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 8,"optional, must be reported if established","Distillation volume temperature 8, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL9.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 9,"optional, must be reported if established",Distillation volume fraction 9,~ OIL DISTILLATION,OAN
DTP9.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 9,"optional, must be reported if established","Distillation volume temperature 9, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL10.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 10,"optional, must be reported if established",Distillation volume fraction 10,~ OIL DISTILLATION,OAN
DTP10.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 10,"optional, must be reported if established","Distillation volume temperature 10, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL11.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 11,"optional, must be reported if established",Distillation volume fraction 11,~ OIL DISTILLATION,OAN
DTP11.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 11,"optional, must be reported if established","Distillation volume temperature 11, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL12.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 12,"optional, must be reported if established",Distillation volume fraction 12,~ OIL DISTILLATION,OAN
DTP12.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 12,"optional, must be reported if established","Distillation volume temperature 12, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL13.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 13,"optional, must be reported if established",Distillation volume fraction 13,~ OIL DISTILLATION,OAN
DTP13.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 13,"optional, must be reported if established","Distillation volume temperature 13, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL14.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 14,"optional, must be reported if established",Distillation volume fraction 14,~ OIL DISTILLATION,OAN
DTP14.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 14,"optional, must be reported if established","Distillation volume temperature 14, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL15.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 15,"optional, must be reported if established",Distillation volume fraction 15,~ OIL DISTILLATION,OAN
DTP15.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 15,"optional, must be reported if established","Distillation volume temperature 15, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL16.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 16,"optional, must be reported if established",Distillation volume fraction 16,~ OIL DISTILLATION,OAN
DTP16.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 16,"optional, must be reported if established","Distillation volume temperature 16, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL17.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 17,"optional, must be reported if established",Distillation volume fraction 17,~ OIL DISTILLATION,OAN
DTP17.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 17,"optional, must be reported if established","Distillation volume temperature 17, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL18.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 18,"optional, must be reported if established",Distillation volume fraction 18,~ OIL DISTILLATION,OAN
DTP18.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 18,"optional, must be reported if established","Distillation volume temperature 18, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL19.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 19,"optional, must be reported if established",Distillation volume fraction 19,~ OIL DISTILLATION,OAN
DTP19.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 19,"optional, must be reported if established","Distillation volume temperature 19, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL20.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 20,"optional, must be reported if established",Distillation volume fraction 20,~ OIL DISTILLATION,OAN
DTP20.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 20,"optional, must be reported if established","Distillation volume temperature 20, (Degrees Celsius)",~ OIL DISTILLATION,OAN
FBP.DEGC,"NUMB 5,2",FINAL BOILING POINT TEMPERATURE,"optional, must be reported if established","Final boiling point temperature, (Degrees Celsius)",~ OIL DISTILLATION,OAN
CRKBP.DEGC,"NUMB 5,2",CRACKED BOILING POINT TEMPERATURE,"optional, must be reported if established","Cracked boiling point temperature, (Degrees Celsius)",~ OIL DISTILLATION,OAN
METHD.,CHAR 20,DISTILLATION METHOD,"optional, can be null",Method used in distillation,~ METHODS AND SUMMARIES,OAN
PBARA.KPAA,"NUMB 4,1",ABSOLUTE BAROMETRIC PRESSURE,"optional, can be null","Absolute barometric pressure, kPaa",~ METHODS AND SUMMARIES,OAN
TROOM.DEGC,"NUMB 5,2",ROOM TEMPERATURE,"optional, can be null. if present, must be > 0 and < 45","Lab room temperature, (Degrees Celsius)",~ METHODS AND SUMMARIES,OAN
DVLNP.FRAC,"NUMB 4,2",NAPHTHA SUMMARY VOLUME FRACTION ,"optional, can be zero or null",Naphtha fraction ,~ METHODS AND SUMMARIES,OAN
DVLKR.FRAC,"NUMB 4,2",KEROSENE SUMMARY VOLUME FRACTION,"optional, can be zero or null",Kerosene fraction,~ METHODS AND SUMMARIES,OAN
DVLGO.FRAC,"NUMB 4,2",LIGHT GAS/OIL SUMMARY VOLUME FRACTION,"optional, can be zero or null",Light gas/oil fraction,~ METHODS AND SUMMARIES,OAN
DVLRC.FRAC,"NUMB 4,2",RECOVERED SUMMARY VOLUME FRACTION,"optional, can be zero or null",Recovered fraction,~ METHODS AND SUMMARIES,OAN
DVLRS.FRAC,"NUMB 4,2",RESIDUE SUMMARY VOLUME FRACTION,"optional, can be zero or null",Residue fraction,~ METHODS AND SUMMARIES,OAN
DVLLS.FRAC,"NUMB 4,2",LOSS SUMMARY VOLUME FRACTION,"optional, can be zero or null",Distillation loss fraction,~ METHODS AND SUMMARIES,OAN
CFACT.,"NUMB 5,1",CHARACTERIZATION FACTOR,"optional, can be zero or null",,~ METHODS AND SUMMARIES,OAN
GCOM.,CHAR 240,GENERAL COMMENT,"optional, can be null",Free form general comment,~ METHODS AND SUMMARIES,OAN
PASTYPE.,CHAR 7,DIGITAL DATA - WATER ANALYSIS ,pas-wan,"Water Analysis test, format",~ VERSION,WAN
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,WAN
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,WAN
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,WAN
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,WAN
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,WAN
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,WAN
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"mandatory, must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,WAN
LABCO.,CHAR 60,LABORATORY NAME,,Company name conducting analysis,~ TEST DATA,WAN
LFNUM.,CHAR 25,LABORATORY FILE NUMBER,,Identification number,~ TEST DATA,WAN
TTOPL.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,WAN
TBASL.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,WAN
SDAT.DAY,YYYY MM DD,DATE SAMPLED,must be >= spud date and <= abandoned date and <= submission date,Date sample gathered,~ TEST DATA,WAN
IDENT.,CHAR 12,CONTAINER IDENTITY,,Identification code of container,~ TEST DATA,WAN
SPNT.,NUMB 2,SAMPLE POINT CODE,"mandatory, must be valid aer sample point code (see footnote).",Sample gathering point,~ TEST DATA,WAN
SPNTN.,CHAR 50,SAMPLE POINT NAME,,Laboratories Unique Text Description of Sample Gathering Point,~ TEST DATA,WAN
ADAT.DAY,YYYY MM DD,DATE ANALYZED,must be >= [sdat] (sample date) and <= submission date,Date Sample Analysis,~ TEST DATA,WAN
SPRES.KPAA,"NUMB 8,2",SAMPLE PRESSURE,"optional, if present can not be zero",Pressure as Sampled (in field) - kPaa,~ TEST DATA,WAN
STEMP.DEGC,"NUMB 5,2",SAMPLE TEMPERATURE,"optional, if present can not be zero",Temperature as Sampled (in field) - DegC,~ TEST DATA,WAN
RPRES.KPAA,"NUMB 8,2",RECEIVED PRESSURE,"optional, if present can not be zero",Pressure as Received (in Lab) -kPaa,~ TEST DATA,WAN
RTEMP.DEGC,"NUMB 5,2",RECEIVED TEMPERATURE,"optional, if present can not be zero",Temperature as Received (in Lab) - DegC,~ TEST DATA,WAN
DSTLOC.,CHAR 1,DST SAMPLE LOCATION,"if [spnt] (sample point code) = (50) then [dstloc] (dst sample location) must be (t)op, (m)iddle, or (b)ottom. else must be null.",,~ TEST DATA,WAN
WANC.,CHAR 240,COMMENT ON SAMPLE,optional,General Free form Comment (regarding Sample or Analytical Procedures).,~ TEST DATA,WAN
NA.MG/L,"NUMB 9,2",SODIUM CATION,"mandatory, can be zero",Sodium mg/L,~ WATER CATIONS,WAN
NA.MEQ/L,"NUMB 9,2",SODIUM CATION CONCENTRATION,"mandatory, can be zero",Sodium milli-equivalent,~ WATER CATIONS,WAN
K.MG/L,"NUMB 9,2",POTASSIUM CATION ,"mandatory, can be zero",Potassium mg/L,~ WATER CATIONS,WAN
K.MEQ/L,"NUMB 9,2",POTASSIUM CATION CONCENTRATION,"mandatory, can be zero",Potassium milli-equivalent,~ WATER CATIONS,WAN
CA.MG/L,"NUMB 9,2",CALCIUM CATION ,"mandatory, can be zero",Calcium mg/L,~ WATER CATIONS,WAN
CA.MEQ/L,"NUMB 9,2",CALCIUM CATION CONCENTRATION,"mandatory, can be zero",Calcium milli-equivalent,~ WATER CATIONS,WAN
MG.MG/L,"NUMB 9,2",MAGNESIUM CATION ,"mandatory, can be zero",Magnesium mg/L,~ WATER CATIONS,WAN
MG.MEQ/L,"NUMB 9,2",MAGNESIUM CATION CONCENTRATION,"mandatory, can be zero",Magnesium milli-equivalent,~ WATER CATIONS,WAN
BA.MG/L,"NUMB 9,2",BARIUM CATION ,"optional, can be zero",Barium mg/L,~ WATER CATIONS,WAN
BA.MEQ/L,"NUMB 9,2",BARIUM CATION CONCENTRATION,"optional, can be zero",Barium milli-equivalent,~ WATER CATIONS,WAN
SR.MG/L,"NUMB 9,2",STRONTIUM CATION,"optional, can be zero",Strontium mg/L,~ WATER CATIONS,WAN
SR.MEQ/L,"NUMB 9,2",STRONTIUM CATION CONCENTRATION,"optional, can be zero",Strontium milli-equivalent,~ WATER CATIONS,WAN
FE.MG/L,"NUMB 9,2",IRON CATION ,"optional, can be zero",Iron mg/L,~ WATER CATIONS,WAN
FE.MEQ/L,"NUMB 9,2",IRON CATION  CONCENTRATION,"optional, can be zero",Iron milli-equivalent,~ WATER CATIONS,WAN
MN.MG/L,"NUMB 9,2",MANGANESE CATION,"optional, can be zero",Manganese mg/L,~ WATER CATIONS,WAN
MN.MEQ/L,"NUMB 9,2",MANGANESE CATION CONCENTRATION,"optional, can be zero",Manganese milli-equivalent,~ WATER CATIONS,WAN
B.MG/L,"NUMB 9,2",BORON CATION ,"optional, can be zero",Boron mg/L,~ WATER CATIONS,WAN
B.MEQ/L,"NUMB 9,2",BORON CATION CONCENTRATION,"optional, can be zero",Boron milli-equivalent,~ WATER CATIONS,WAN
CL.MG/L,"NUMB 9,2",CHLORIDE ANION,"mandatory, can be zero",Chloride mg/L,~ WATER ANIONS,WAN
CL.MEQ/L,"NUMB 9,2",CHLORIDE ANION CONCENTRATION,"mandatory, can be zero",Chloride milli-equivalent,~ WATER ANIONS,WAN
BR.MG/L,"NUMB 9,2",BROMIDE ANION,"optional, can be zero",Bromide mg/L,~ WATER ANIONS,WAN
BR.MEQ/L,"NUMB 9,2",BROMIDE ANION CONCENTRATION,"optional, can be zero",Bromide milli-equivalent,~ WATER ANIONS,WAN
I.MG/L,"NUMB 9,2",IODIDE ANION,"optional, can be zero",Iodide mg/L,~ WATER ANIONS,WAN
I.MEQ/L,"NUMB 9,2",IODIDE ANION CONCENTRATION,"optional, can be zero",Iodide milli-equivalent,~ WATER ANIONS,WAN
HCO3.MG/L,"NUMB 9,2",BICARBONATE ANION,"mandatory, can be zero",Bicarbonate mg/L,~ WATER ANIONS,WAN
HCO3.MEQ/L,"NUMB 9,2",BICARBONATE ANION CONCENTRATION,"mandatory, can be zero",Bicarbonate milli-equivalent,~ WATER ANIONS,WAN
SO4.MG/L,"NUMB 9,2",SULPHATE ANION,"mandatory, can be zero",Sulphate mg/L,~ WATER ANIONS,WAN
SO4.MEQ/L,"NUMB 9,2",SULPHATE ANION CONCENTRATION,"mandatory, can be zero",Sulphate milli-equivalent,~ WATER ANIONS,WAN
CO3.MG/L,"NUMB 9,2",CARBONATE ANION,"mandatory, can be zero",Carbonate mg/L,~ WATER ANIONS,WAN
CO3.MEQ/L,"NUMB 9,2",CARBONATE ANION CONCENTRATION,"mandatory, can be zero",Carbonate milli-equivalent,~ WATER ANIONS,WAN
OH.MG/L,"NUMB 9,2",HYDROXIDE ANION,"mandatory, can be zero",Hydroxide mg/L,~ WATER ANIONS,WAN
OH.MEQ/L,"NUMB 9,2",HYDROXIDE ANION CONCENTRATION,"mandatory, can be zero",Hydroxide milli-equivalent,~ WATER ANIONS,WAN
DS110.MG/L,"NUMB 9,2",TOTAL DISSOLVED SOLIDS EVAPORATED @ 110 DEGC,"optional, can be zero",mg/L,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
